movieId,title,genres,poster
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,./static/Pictures/Toy Story (1995).jpeg
2,Jumanji (1995),Adventure|Children|Fantasy,./static/Pictures/Jumanji (1995).jpeg
3,Grumpier Old Men (1995),Comedy|Romance,./static/Pictures/Grumpier Old Men (1995).jpeg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,./static/Pictures/Waiting to Exhale (1995).jpeg
5,Father of the Bride Part II (1995),Comedy,./static/Pictures/Father of the Bride Part II (1995).jpeg
6,Heat (1995),Action|Crime|Thriller,./static/Pictures/Heat (1995).jpeg
7,Sabrina (1995),Comedy|Romance,./static/Pictures/Sabrina (1995).jpeg
8,Tom and Huck (1995),Adventure|Children,./static/Pictures/Tom and Huck (1995).jpeg
9,Sudden Death (1995),Action,./static/Pictures/Sudden Death (1995).jpeg
10,GoldenEye (1995),Action|Adventure|Thriller,./static/Pictures/GoldenEye (1995).jpeg
11,"American President, The (1995)",Comedy|Drama|Romance,"./static/Pictures/American President, The (1995).jpeg"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,./static/Pictures/Dracula: Dead and Loving It (1995).jpeg
13,Balto (1995),Adventure|Animation|Children,./static/Pictures/Balto (1995).jpeg
14,Nixon (1995),Drama,./static/Pictures/Nixon (1995).jpeg
15,Cutthroat Island (1995),Action|Adventure|Romance,./static/Pictures/Cutthroat Island (1995).jpeg
16,Casino (1995),Crime|Drama,./static/Pictures/Casino (1995).jpeg
17,Sense and Sensibility (1995),Drama|Romance,./static/Pictures/Sense and Sensibility (1995).jpeg
18,Four Rooms (1995),Comedy,./static/Pictures/Four Rooms (1995).jpeg
19,Ace Ventura: When Nature Calls (1995),Comedy,./static/Pictures/Ace Ventura: When Nature Calls (1995).jpeg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,./static/Pictures/Money Train (1995).jpeg
21,Get Shorty (1995),Comedy|Crime|Thriller,./static/Pictures/Get Shorty (1995).jpeg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,./static/Pictures/Copycat (1995).jpeg
23,Assassins (1995),Action|Crime|Thriller,./static/Pictures/Assassins (1995).jpeg
24,Powder (1995),Drama|Sci-Fi,./static/Pictures/Powder (1995).jpeg
25,Leaving Las Vegas (1995),Drama|Romance,./static/Pictures/Leaving Las Vegas (1995).jpeg
26,Othello (1995),Drama,./static/Pictures/Othello (1995).jpeg
27,Now and Then (1995),Children|Drama,./static/Pictures/Now and Then (1995).jpeg
